Dependency metrics,quinta, 2 dez 2021 12:06:03 WET
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
"org.jabref.gui.fieldeditors.contextmenu.DefaultMenu",784,4,1 333,4,1 121,4,2
"org.jabref.gui.fieldeditors.contextmenu.EditorContextAction",784,6,1 333,4,1 121,4,2
"org.jabref.gui.fieldeditors.contextmenu.EditorMenus",784,8,1 333,4,1 121,6,1
"org.jabref.gui.fieldeditors.contextmenu.ProtectedTermsMenu",784,14,1 333,4,1 121,8,1
"org.jabref.gui.fieldeditors.contextmenu.ProtectedTermsMenu.AddToProtectedTermsAction",784,3,1 333,1,1 121,3,1
"org.jabref.gui.fieldeditors.contextmenu.ProtectedTermsMenu.FormatFieldAction",784,3,1 333,1,1 121,3,1
"org.jabref.gui.fieldeditors.contextmenu.ProtectedTermsMenu.ProtectSelectionAction",784,2,1 333,1,1 121,2,1
"org.jabref.gui.groups.GroupDescriptions",784,7,1 333,1,1 121,3,1
"org.jabref.gui.groups.GroupDialogHeader",0,0,0,5,1 122,0,1
"org.jabref.gui.groups.GroupDialogView",784,17,1 333,2,1 121,9,1
"org.jabref.gui.groups.GroupDialogView.IkonliCell",784,1,1 333,1,1 121,1,1
"org.jabref.gui.groups.GroupDialogViewModel",784,36,1 333,2,1 121,19,1
"org.jabref.gui.groups.GroupModeViewModel",0,3,13,1,1 122,3,1
"org.jabref.gui.groups.GroupNodeViewModel",784,25,1 333,5,1 121,12,1
"org.jabref.gui.groups.GroupSidePane",784,16,1 333,1,1 121,8,1
"org.jabref.gui.groups.GroupTreeNodeViewModel",784,14,1 333,5,1 121,5,2
"org.jabref.gui.groups.GroupTreeView",784,18,1 333,1,1 121,7,1
"org.jabref.gui.groups.GroupTreeView.DragExpansionHandler",784,1,1 333,1,1 121,1,1
"org.jabref.gui.groups.GroupTreeViewModel",784,17,1 333,2,1 121,10,1
"org.jabref.gui.groups.GroupViewMode",0,0,0,7,1 124,0,4
"org.jabref.gui.groups.GroupsPreferences",0,1,1,4,1 122,1,3
"org.jabref.gui.groups.MoveGroupChange",0,1,1 334,1,1,1,1
"org.jabref.gui.groups.UndoableAddOrRemoveGroup",784,6,1 333,1,1 121,5,1
"org.jabref.gui.groups.UndoableChangeEntriesOfGroup",784,5,1 333,1,1 121,4,1
"org.jabref.gui.groups.UndoableModifySubtree",784,4,1 333,1,1 121,4,1
"org.jabref.gui.groups.UndoableMoveGroup",0,6,1 335,0,0,5,0
"org.jabref.gui.help.AboutAction",784,3,1 333,1,1 121,3,1
"org.jabref.gui.help.AboutDialogView",784,7,1 333,1,1 121,5,1
"org.jabref.gui.help.AboutDialogViewModel",784,8,1 333,1,1 121,4,1
"org.jabref.gui.help.ErrorConsoleAction",784,3,1 333,1,1 121,3,1
